,Political_system_Poorly,Political_system_Very_poorly,Political_system_Very_well,Political_system_Well,Age_19-29,Age_30-44,Age_45-59,Age_60-74,Age_75+,Time_of_survey_1991,Time_of_survey_1992,Schooling_Basic,Schooling_Basic_incomplete,Schooling_Intensive,Schooling_Medium,Schooling_Upper_medium,Region_East_Germany,Region_West_Germany,binaryClass
262,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
92,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
254,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
388,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
311,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
167,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
267,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
142,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
16,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
327,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
63,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
44,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
15,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
350,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
115,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
321,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
57,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
186,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
103,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
140,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
182,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
77,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
392,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
382,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
156,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
275,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
243,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
346,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
81,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
108,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
353,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
143,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
133,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
266,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
339,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
150,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
32,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
104,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
94,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
265,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
163,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
269,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
137,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
305,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
201,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
237,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
343,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
216,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
228,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
204,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
55,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
9,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
14,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
302,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
123,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
89,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
288,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
6,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
293,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
334,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
285,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
221,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
151,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
332,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
240,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
114,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
38,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
58,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
359,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
283,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
24,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
60,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
253,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
315,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
113,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
313,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
263,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
209,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
206,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
19,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
79,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
188,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
141,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
270,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
100,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
361,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
391,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
70,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
245,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
119,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
234,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
312,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
395,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
97,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
232,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
120,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
256,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
316,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
170,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
276,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
176,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1
68,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
370,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
95,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
39,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
54,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
56,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
101,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
72,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
294,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
239,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
351,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
301,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
384,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
76,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
386,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
261,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
295,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
147,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
172,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
162,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
347,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
218,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
28,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
199,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
252,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
175,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
310,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
183,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
238,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
203,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
166,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
181,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
171,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
173,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
52,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
362,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
34,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
335,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
354,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
236,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
363,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
247,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
194,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
124,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
136,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
116,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
65,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
168,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
364,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
158,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
126,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
375,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
177,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
102,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
380,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
349,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
85,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
331,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
248,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
290,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
251,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
74,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
61,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
84,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
18,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
325,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
26,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
277,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
210,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
348,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
146,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
83,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
257,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
258,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
341,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
255,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
118,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
304,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
250,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
127,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
138,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
271,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
109,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
48,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
66,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
396,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
213,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
235,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
196,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
282,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
29,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
98,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
155,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
385,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
268,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
328,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
219,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
214,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
360,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
308,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
281,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
309,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
296,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
383,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
169,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
205,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
112,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
366,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
132,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
180,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
174,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
337,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
225,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
365,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
192,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
144,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
292,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
25,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
139,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
357,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
178,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
358,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
75,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
319,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
53,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
184,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
90,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
387,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
153,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
27,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
397,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
323,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
298,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
193,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
241,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
226,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
125,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
212,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
303,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
154,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
229,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
41,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
273,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
278,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
333,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
51,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
