,V1,V2,V3,V4,Class
177,4.0,5.0,1250.0,33.0,0
700,16.0,3.0,750.0,35.0,1
633,12.0,15.0,3750.0,71.0,1
310,11.0,5.0,1250.0,38.0,1
93,4.0,2.0,500.0,4.0,1
80,4.0,6.0,1500.0,23.0,0
369,16.0,5.0,1250.0,40.0,0
722,21.0,3.0,750.0,40.0,1
182,2.0,4.0,1000.0,35.0,1
459,21.0,1.0,250.0,21.0,1
725,21.0,1.0,250.0,21.0,1
261,11.0,14.0,3500.0,73.0,0
631,2.0,2.0,500.0,22.0,1
415,16.0,1.0,250.0,16.0,1
613,4.0,1.0,250.0,4.0,1
740,23.0,1.0,250.0,23.0,1
531,2.0,4.0,1000.0,14.0,0
188,8.0,15.0,3750.0,77.0,1
137,2.0,12.0,3000.0,98.0,1
47,2.0,2.0,500.0,2.0,1
524,4.0,9.0,2250.0,28.0,1
375,11.0,3.0,750.0,40.0,0
438,23.0,14.0,3500.0,93.0,1
650,9.0,1.0,250.0,9.0,1
517,4.0,33.0,8250.0,98.0,0
584,2.0,1.0,250.0,2.0,1
29,4.0,8.0,2000.0,21.0,1
91,4.0,2.0,500.0,4.0,1
615,4.0,1.0,250.0,4.0,1
401,23.0,5.0,1250.0,33.0,1
215,4.0,1.0,250.0,4.0,0
68,4.0,7.0,1750.0,25.0,1
40,2.0,13.0,3250.0,53.0,0
0,2.0,50.0,12500.0,98.0,0
479,23.0,1.0,250.0,23.0,1
736,23.0,1.0,250.0,23.0,1
436,21.0,2.0,500.0,25.0,1
349,11.0,1.0,250.0,11.0,1
494,23.0,2.0,500.0,87.0,1
343,11.0,1.0,250.0,11.0,1
666,11.0,1.0,250.0,11.0,1
336,11.0,3.0,750.0,28.0,1
683,11.0,3.0,750.0,37.0,1
114,2.0,12.0,3000.0,82.0,1
333,11.0,7.0,1750.0,62.0,0
381,14.0,1.0,250.0,14.0,1
667,11.0,1.0,250.0,11.0,0
2,1.0,16.0,4000.0,35.0,0
570,2.0,6.0,1500.0,47.0,1
466,23.0,4.0,1000.0,45.0,1
46,2.0,9.0,2250.0,36.0,1
430,9.0,2.0,500.0,52.0,1
675,16.0,3.0,750.0,23.0,1
437,14.0,3.0,750.0,52.0,1
593,9.0,11.0,2750.0,49.0,0
244,9.0,2.0,500.0,11.0,1
410,16.0,1.0,250.0,16.0,1
272,7.0,2.0,500.0,16.0,1
668,11.0,1.0,250.0,11.0,1
287,9.0,2.0,500.0,16.0,0
360,14.0,6.0,1500.0,51.0,1
94,12.0,11.0,2750.0,23.0,1
41,2.0,5.0,1250.0,16.0,1
502,2.0,34.0,8500.0,77.0,0
719,23.0,8.0,2000.0,69.0,1
202,6.0,2.0,500.0,11.0,0
376,14.0,5.0,1250.0,50.0,1
564,4.0,14.0,3500.0,86.0,1
367,14.0,4.0,1000.0,38.0,1
342,11.0,6.0,1500.0,58.0,1
473,14.0,3.0,750.0,83.0,1
690,14.0,1.0,250.0,14.0,1
142,4.0,3.0,750.0,16.0,1
703,16.0,1.0,250.0,16.0,1
194,2.0,2.0,500.0,14.0,1
594,5.0,11.0,2750.0,75.0,1
42,2.0,5.0,1250.0,16.0,0
259,12.0,12.0,3000.0,58.0,1
453,21.0,1.0,250.0,21.0,1
419,16.0,2.0,500.0,26.0,1
385,14.0,7.0,1750.0,72.0,1
530,4.0,5.0,1250.0,16.0,0
713,16.0,6.0,1500.0,81.0,1
445,21.0,3.0,750.0,35.0,1
492,23.0,4.0,1000.0,87.0,1
423,21.0,2.0,500.0,23.0,1
66,2.0,4.0,1000.0,14.0,0
518,3.0,10.0,2500.0,33.0,0
361,11.0,2.0,500.0,24.0,1
250,11.0,2.0,500.0,11.0,1
307,11.0,3.0,750.0,23.0,1
617,4.0,1.0,250.0,4.0,1
723,23.0,2.0,500.0,28.0,1
122,2.0,6.0,1500.0,41.0,0
601,4.0,6.0,1500.0,46.0,1
241,11.0,22.0,5500.0,98.0,1
467,21.0,4.0,1000.0,52.0,1
450,23.0,3.0,750.0,33.0,1
628,2.0,5.0,1250.0,63.0,1
109,2.0,10.0,2500.0,64.0,1
603,14.0,8.0,2000.0,26.0,1
230,4.0,1.0,250.0,4.0,1
716,21.0,2.0,500.0,26.0,1
495,35.0,3.0,750.0,64.0,1
510,4.0,4.0,1000.0,4.0,0
637,14.0,7.0,1750.0,35.0,1
87,4.0,2.0,500.0,4.0,1
7,1.0,12.0,3000.0,35.0,1
356,16.0,6.0,1500.0,40.0,1
116,2.0,7.0,1750.0,46.0,0
390,11.0,4.0,1000.0,58.0,1
338,11.0,1.0,250.0,11.0,0
201,4.0,7.0,1750.0,58.0,1
285,11.0,2.0,500.0,14.0,1
654,14.0,3.0,750.0,21.0,1
374,14.0,4.0,1000.0,40.0,1
468,22.0,1.0,250.0,22.0,0
606,2.0,7.0,1750.0,77.0,1
32,4.0,10.0,2500.0,28.0,0
124,2.0,4.0,1000.0,26.0,1
663,11.0,8.0,2000.0,72.0,1
339,9.0,3.0,750.0,34.0,1
696,14.0,3.0,750.0,35.0,1
503,2.0,44.0,11000.0,98.0,1
81,2.0,4.0,1000.0,16.0,1
619,4.0,1.0,250.0,4.0,1
159,2.0,1.0,250.0,2.0,1
591,11.0,11.0,2750.0,38.0,1
679,14.0,3.0,750.0,28.0,1
237,4.0,2.0,500.0,14.0,1
484,23.0,1.0,250.0,23.0,1
19,2.0,3.0,750.0,4.0,0
172,2.0,1.0,250.0,2.0,1
167,2.0,1.0,250.0,2.0,1
126,4.0,8.0,2000.0,46.0,0
140,2.0,9.0,2250.0,74.0,1
74,2.0,2.0,500.0,4.0,0
627,11.0,2.0,500.0,11.0,1
505,2.0,41.0,10250.0,98.0,0
30,1.0,14.0,3500.0,58.0,1
121,4.0,5.0,1250.0,26.0,0
649,14.0,8.0,2000.0,46.0,1
455,21.0,1.0,250.0,21.0,1
485,23.0,4.0,1000.0,53.0,1
732,23.0,1.0,250.0,23.0,0
582,2.0,1.0,250.0,2.0,1
335,16.0,3.0,750.0,21.0,0
709,21.0,6.0,1500.0,48.0,1
253,11.0,3.0,750.0,16.0,0
398,16.0,8.0,2000.0,76.0,1
153,2.0,1.0,250.0,2.0,0
131,2.0,12.0,3000.0,95.0,1
162,2.0,1.0,250.0,2.0,1
556,5.0,6.0,1500.0,28.0,1
266,3.0,2.0,500.0,23.0,1
657,14.0,8.0,2000.0,50.0,1
235,8.0,10.0,2500.0,63.0,1
444,23.0,12.0,3000.0,86.0,1
395,16.0,10.0,2500.0,89.0,1
205,11.0,6.0,1500.0,26.0,1
304,14.0,6.0,1500.0,34.0,1
11,0.0,3.0,750.0,4.0,1
365,14.0,2.0,500.0,21.0,0
243,11.0,17.0,4250.0,79.0,0
50,2.0,11.0,2750.0,46.0,1
477,23.0,1.0,250.0,23.0,1
428,23.0,3.0,750.0,28.0,1
118,1.0,7.0,1750.0,57.0,1
738,23.0,1.0,250.0,23.0,1
746,39.0,1.0,250.0,39.0,1
669,2.0,3.0,750.0,75.0,0
674,16.0,10.0,2500.0,62.0,1
373,9.0,4.0,1000.0,65.0,1
130,4.0,5.0,1250.0,28.0,1
651,16.0,5.0,1250.0,27.0,1
652,14.0,4.0,1000.0,26.0,1
258,4.0,3.0,750.0,28.0,1
621,4.0,1.0,250.0,4.0,1
412,16.0,1.0,250.0,16.0,1
171,2.0,1.0,250.0,2.0,1
653,4.0,2.0,500.0,30.0,1
198,11.0,7.0,1750.0,29.0,1
608,4.0,1.0,250.0,4.0,1
439,18.0,8.0,2000.0,95.0,1
611,4.0,1.0,250.0,4.0,1
199,9.0,9.0,2250.0,45.0,1
402,23.0,8.0,2000.0,46.0,1
546,7.0,14.0,3500.0,48.0,1
323,14.0,8.0,2000.0,50.0,0
448,23.0,8.0,2000.0,64.0,1
90,4.0,2.0,500.0,4.0,0
569,2.0,6.0,1500.0,45.0,1
164,2.0,1.0,250.0,2.0,0
170,2.0,1.0,250.0,2.0,1
661,16.0,2.0,500.0,16.0,1
350,11.0,1.0,250.0,11.0,1
541,2.0,10.0,2500.0,52.0,1
596,3.0,1.0,250.0,3.0,0
742,16.0,3.0,750.0,86.0,1
15,2.0,5.0,1250.0,11.0,0
141,5.0,14.0,3500.0,86.0,1
219,4.0,1.0,250.0,4.0,1
583,2.0,1.0,250.0,2.0,1
296,14.0,5.0,1250.0,28.0,1
271,16.0,7.0,1750.0,28.0,1
165,2.0,1.0,250.0,2.0,0
397,21.0,3.0,750.0,26.0,1
316,11.0,2.0,500.0,17.0,1
614,4.0,1.0,250.0,4.0,1
721,23.0,3.0,750.0,35.0,1
320,15.0,16.0,4000.0,82.0,1
403,16.0,3.0,750.0,34.0,1
539,2.0,2.0,500.0,4.0,0
487,23.0,3.0,750.0,48.0,1
598,2.0,3.0,750.0,24.0,1
51,2.0,11.0,2750.0,46.0,0
222,4.0,1.0,250.0,4.0,0
340,14.0,4.0,1000.0,30.0,1
103,2.0,5.0,1250.0,26.0,1
677,23.0,19.0,4750.0,62.0,1
8,2.0,9.0,2250.0,22.0,0
228,4.0,1.0,250.0,4.0,1
514,4.0,16.0,4000.0,38.0,0
425,16.0,5.0,1250.0,60.0,1
70,2.0,4.0,1000.0,16.0,1
491,21.0,3.0,750.0,70.0,1
192,2.0,4.0,1000.0,35.0,1
705,16.0,1.0,250.0,16.0,1
433,14.0,4.0,1000.0,64.0,1
208,11.0,6.0,1500.0,27.0,1
512,2.0,11.0,2750.0,28.0,1
741,23.0,7.0,1750.0,88.0,1
348,11.0,1.0,250.0,11.0,1
195,2.0,5.0,1250.0,47.0,0
324,16.0,7.0,1750.0,38.0,1
537,2.0,6.0,1500.0,26.0,0
685,21.0,7.0,1750.0,38.0,1
386,14.0,1.0,250.0,14.0,1
97,4.0,9.0,2250.0,38.0,0
463,21.0,1.0,250.0,21.0,1
394,16.0,4.0,1000.0,40.0,1
79,2.0,2.0,500.0,4.0,1
658,11.0,3.0,750.0,26.0,1
286,4.0,2.0,500.0,23.0,1
406,16.0,1.0,250.0,16.0,1
78,2.0,2.0,500.0,4.0,1
629,7.0,11.0,2750.0,89.0,1
701,16.0,1.0,250.0,16.0,1
328,14.0,4.0,1000.0,28.0,0
708,11.0,2.0,500.0,38.0,0
251,2.0,6.0,1500.0,75.0,1
707,11.0,4.0,1000.0,74.0,1
136,2.0,5.0,1250.0,37.0,1
276,14.0,13.0,3250.0,57.0,1
511,2.0,11.0,2750.0,26.0,1
528,5.0,24.0,6000.0,79.0,1
183,4.0,12.0,3000.0,88.0,1
446,23.0,2.0,500.0,26.0,1
62,2.0,10.0,2500.0,49.0,1
635,11.0,16.0,4000.0,89.0,1
689,14.0,1.0,250.0,14.0,1
460,21.0,1.0,250.0,21.0,1
704,16.0,1.0,250.0,16.0,1
527,2.0,15.0,3750.0,64.0,1
146,6.0,3.0,750.0,14.0,1
718,21.0,3.0,750.0,35.0,1
562,4.0,16.0,4000.0,98.0,0
218,4.0,1.0,250.0,4.0,1
125,2.0,5.0,1250.0,34.0,1
111,4.0,9.0,2250.0,46.0,1
187,4.0,4.0,1000.0,26.0,1
610,4.0,1.0,250.0,4.0,1
38,2.0,14.0,3500.0,57.0,0
246,11.0,12.0,3000.0,58.0,1
76,2.0,4.0,1000.0,16.0,0
490,16.0,2.0,500.0,70.0,1
472,23.0,3.0,750.0,41.0,1
353,11.0,2.0,500.0,21.0,1
143,4.0,3.0,750.0,16.0,1
35,2.0,8.0,2000.0,28.0,0
355,4.0,2.0,500.0,41.0,1
604,4.0,2.0,500.0,13.0,1
351,11.0,2.0,500.0,21.0,1
497,38.0,1.0,250.0,38.0,1
88,4.0,2.0,500.0,4.0,1
221,4.0,1.0,250.0,4.0,0
174,2.0,1.0,250.0,2.0,1
747,72.0,1.0,250.0,72.0,1
728,21.0,1.0,250.0,21.0,1
659,14.0,7.0,1750.0,45.0,1
482,23.0,1.0,250.0,23.0,1
532,4.0,8.0,2000.0,28.0,1
676,14.0,3.0,750.0,26.0,1
82,2.0,4.0,1000.0,16.0,1
345,11.0,1.0,250.0,11.0,1
92,4.0,2.0,500.0,4.0,1
592,2.0,3.0,750.0,22.0,1
563,7.0,10.0,2500.0,47.0,1
329,16.0,7.0,1750.0,39.0,1
191,4.0,7.0,1750.0,52.0,1
176,11.0,4.0,1000.0,16.0,0
478,23.0,1.0,250.0,23.0,1
260,4.0,4.0,1000.0,41.0,1
694,14.0,1.0,250.0,14.0,1
580,2.0,1.0,250.0,2.0,1
104,2.0,5.0,1250.0,26.0,1
720,21.0,3.0,750.0,38.0,1
22,2.0,6.0,1500.0,16.0,0
197,4.0,6.0,1500.0,47.0,1
120,2.0,3.0,750.0,16.0,0
392,4.0,2.0,500.0,59.0,1
523,1.0,10.0,2500.0,43.0,0
179,2.0,3.0,750.0,22.0,1
499,74.0,1.0,250.0,74.0,1
687,16.0,6.0,1500.0,50.0,1
6,2.0,7.0,1750.0,14.0,0
60,2.0,7.0,1750.0,29.0,1
64,2.0,3.0,750.0,9.0,0
699,21.0,2.0,500.0,21.0,1
196,9.0,8.0,2000.0,38.0,0
645,14.0,2.0,500.0,14.0,1
352,11.0,5.0,1250.0,50.0,1
61,2.0,8.0,2000.0,35.0,0
332,16.0,6.0,1500.0,35.0,0
461,21.0,1.0,250.0,21.0,1
154,2.0,1.0,250.0,2.0,1
362,4.0,3.0,750.0,71.0,1
274,4.0,5.0,1250.0,58.0,1
551,2.0,6.0,1500.0,35.0,0
315,4.0,2.0,500.0,29.0,1
232,4.0,1.0,250.0,4.0,1
151,4.0,6.0,1500.0,39.0,1
625,7.0,5.0,1250.0,35.0,1
434,14.0,2.0,500.0,35.0,1
166,2.0,1.0,250.0,2.0,1
710,23.0,2.0,500.0,23.0,1
409,16.0,1.0,250.0,16.0,1
648,11.0,3.0,750.0,23.0,1
400,18.0,2.0,500.0,23.0,1
102,4.0,9.0,2250.0,40.0,1
474,21.0,2.0,500.0,35.0,1
346,11.0,1.0,250.0,11.0,1
698,16.0,7.0,1750.0,64.0,1
516,3.0,5.0,1250.0,12.0,0
227,4.0,3.0,750.0,24.0,1
262,2.0,2.0,500.0,23.0,1
233,10.0,8.0,2000.0,39.0,1
640,11.0,8.0,2000.0,52.0,0
57,2.0,7.0,1750.0,28.0,0
522,4.0,13.0,3250.0,39.0,0
148,2.0,2.0,500.0,11.0,0
595,3.0,5.0,1250.0,38.0,1
565,2.0,9.0,2250.0,75.0,1
89,2.0,7.0,1750.0,35.0,0
427,14.0,5.0,1250.0,74.0,1
12,2.0,10.0,2500.0,28.0,0
36,2.0,12.0,3000.0,47.0,0
550,4.0,4.0,1000.0,16.0,1
270,16.0,11.0,2750.0,40.0,1
278,14.0,18.0,4500.0,78.0,1
72,4.0,17.0,4250.0,71.0,0
443,11.0,3.0,750.0,76.0,1
344,11.0,1.0,250.0,11.0,1
289,14.0,3.0,750.0,19.0,0
10,4.0,23.0,5750.0,58.0,1
387,14.0,1.0,250.0,14.0,1
24,9.0,9.0,2250.0,16.0,1
540,2.0,6.0,1500.0,28.0,0
399,21.0,3.0,750.0,26.0,0
158,2.0,1.0,250.0,2.0,1
692,14.0,1.0,250.0,14.0,1
454,21.0,1.0,250.0,21.0,1
553,2.0,3.0,750.0,14.0,1
264,4.0,5.0,1250.0,58.0,1
173,2.0,1.0,250.0,2.0,1
465,21.0,5.0,1250.0,60.0,1
561,4.0,9.0,2250.0,52.0,1
702,16.0,1.0,250.0,16.0,1
59,3.0,6.0,1500.0,21.0,1
616,4.0,1.0,250.0,4.0,1
714,16.0,4.0,1000.0,58.0,1
65,3.0,16.0,4000.0,74.0,1
206,2.0,2.0,500.0,16.0,1
515,4.0,6.0,1500.0,14.0,1
290,14.0,4.0,1000.0,23.0,0
291,16.0,12.0,3000.0,50.0,1
574,2.0,2.0,500.0,11.0,0
643,10.0,5.0,1250.0,38.0,1
552,4.0,6.0,1500.0,28.0,0
599,12.0,11.0,2750.0,39.0,1
519,4.0,10.0,2500.0,28.0,0
630,8.0,9.0,2250.0,64.0,1
322,11.0,4.0,1000.0,34.0,1
660,15.0,5.0,1250.0,33.0,1
145,4.0,3.0,750.0,16.0,0
447,23.0,2.0,500.0,26.0,1
493,23.0,3.0,750.0,89.0,1
5,4.0,4.0,1000.0,4.0,1
609,4.0,1.0,250.0,4.0,1
100,4.0,8.0,2000.0,34.0,0
389,14.0,7.0,1750.0,73.0,1
671,16.0,4.0,1000.0,28.0,1
135,2.0,3.0,750.0,19.0,1
471,23.0,3.0,750.0,40.0,1
404,14.0,5.0,1250.0,64.0,1
379,14.0,1.0,250.0,14.0,1
236,11.0,3.0,750.0,15.0,1
641,7.0,5.0,1250.0,52.0,1
216,4.0,1.0,250.0,4.0,1
330,14.0,7.0,1750.0,47.0,1
26,4.0,6.0,1500.0,14.0,1
585,2.0,1.0,250.0,2.0,1
18,2.0,6.0,1500.0,15.0,0
1,0.0,13.0,3250.0,28.0,0
52,2.0,6.0,1500.0,22.0,1
71,2.0,4.0,1000.0,16.0,1
730,21.0,2.0,500.0,33.0,1
139,2.0,2.0,500.0,11.0,1
429,16.0,3.0,750.0,40.0,1
634,13.0,3.0,750.0,16.0,1
572,2.0,2.0,500.0,11.0,0
449,16.0,3.0,750.0,50.0,1
3,2.0,20.0,5000.0,45.0,0
391,11.0,4.0,1000.0,59.0,1
691,14.0,1.0,250.0,14.0,1
211,4.0,1.0,250.0,4.0,1
265,4.0,4.0,1000.0,43.0,0
293,11.0,5.0,1250.0,35.0,1
508,2.0,21.0,5250.0,52.0,0
273,4.0,5.0,1250.0,58.0,1
662,16.0,3.0,750.0,21.0,1
16,2.0,14.0,3500.0,48.0,0
168,2.0,1.0,250.0,2.0,1
656,4.0,2.0,500.0,31.0,1
501,6.0,22.0,5500.0,28.0,0
549,4.0,7.0,1750.0,32.0,0
281,14.0,4.0,1000.0,22.0,0
20,2.0,3.0,750.0,4.0,0
622,4.0,4.0,1000.0,34.0,0
554,2.0,4.0,1000.0,23.0,1
238,2.0,4.0,1000.0,43.0,1
364,11.0,6.0,1500.0,71.0,1
534,2.0,6.0,1500.0,26.0,1
45,4.0,9.0,2250.0,28.0,0
53,2.0,12.0,3000.0,52.0,1
101,2.0,13.0,3250.0,76.0,0
321,9.0,5.0,1250.0,51.0,0
152,4.0,11.0,2750.0,78.0,1
734,23.0,1.0,250.0,23.0,1
665,11.0,1.0,250.0,11.0,1
112,4.0,5.0,1250.0,23.0,1
214,4.0,1.0,250.0,4.0,1
383,14.0,1.0,250.0,14.0,1
529,2.0,6.0,1500.0,22.0,0
655,16.0,16.0,4000.0,77.0,1
27,4.0,12.0,3000.0,34.0,0
408,16.0,1.0,250.0,16.0,1
632,6.0,3.0,750.0,26.0,1
282,14.0,5.0,1250.0,26.0,1
688,14.0,3.0,750.0,33.0,1
54,4.0,5.0,1250.0,14.0,0
33,4.0,9.0,2250.0,26.0,0
37,4.0,6.0,1500.0,16.0,0
314,9.0,1.0,250.0,9.0,1
347,11.0,1.0,250.0,11.0,1
163,2.0,1.0,250.0,2.0,0
486,21.0,6.0,1500.0,86.0,1
28,4.0,5.0,1250.0,11.0,0
441,11.0,3.0,750.0,76.0,1
715,16.0,5.0,1250.0,71.0,1
268,4.0,7.0,1750.0,82.0,1
575,4.0,6.0,1500.0,38.0,0
417,16.0,1.0,250.0,16.0,1
525,2.0,4.0,1000.0,11.0,1
58,2.0,16.0,4000.0,81.0,1
292,11.0,4.0,1000.0,28.0,1
377,14.0,1.0,250.0,14.0,1
442,11.0,2.0,500.0,52.0,1
