,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,binaryClass
6,1979.0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,1982.0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,1996.0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0
242,1999.0,0,0,0,0,0,0,0,1,0,0,0,0,1
188,1994.0,0,0,0,0,0,0,0,0,0,0,0,1,1
149,1991.0,0,0,0,0,0,0,1,0,0,0,0,0,1
161,1992.0,0,0,0,0,0,0,1,0,0,0,0,0,1
110,1988.0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,1985.0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,1991.0,0,0,1,0,0,0,0,0,0,0,0,0,0
226,1997.0,0,0,0,0,0,0,0,0,0,1,0,0,0
183,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,1
221,1997.0,0,0,0,0,0,0,1,0,0,0,0,0,1
123,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,1
89,1986.0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,1989.0,0,0,0,0,0,1,0,0,0,0,0,0,1
174,1993.0,0,0,0,0,0,1,0,0,0,0,0,0,1
38,1982.0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1983.0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,1994.0,0,0,0,0,0,1,0,0,0,0,0,0,1
201,1995.0,0,0,0,0,0,0,0,0,0,0,1,0,1
104,1987.0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,1993.0,0,0,0,0,0,0,0,0,0,0,0,1,1
131,1989.0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,1992.0,0,0,0,1,0,0,0,0,0,0,0,0,0
209,1996.0,0,0,0,0,0,0,1,0,0,0,0,0,1
231,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,1
70,1984.0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,1979.0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,1987.0,0,1,0,0,0,0,0,0,0,0,0,0,1
138,1990.0,0,0,0,0,0,1,0,0,0,0,0,0,1
261,2000.0,0,0,0,0,0,0,0,0,0,0,1,0,1
125,1989.0,0,0,0,0,0,0,1,0,0,0,0,0,1
195,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1
260,2000.0,0,0,0,0,0,0,0,0,0,0,0,1,1
178,1993.0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,1985.0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,1985.0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,1980.0,0,0,0,1,0,0,0,0,0,0,0,0,0
263,2000.0,0,0,1,0,0,0,0,0,0,0,0,0,0
258,2000.0,0,0,0,0,0,1,0,0,0,0,0,0,1
111,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,1981.0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,1994.0,0,1,0,0,0,0,0,0,0,0,0,0,1
25,1981.0,0,0,0,1,0,0,0,0,0,0,0,0,0
208,1996.0,0,0,0,0,0,0,0,0,1,0,0,0,1
101,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,1980.0,0,0,0,0,0,0,0,1,0,0,0,0,0
169,1993.0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,1988.0,0,0,0,0,0,1,0,0,0,0,0,0,1
55,1983.0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,1990.0,0,0,0,0,0,0,0,0,1,0,0,0,1
253,2000.0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,1982.0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,1980.0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,1985.0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1979.0,0,0,0,0,1,0,0,0,0,0,0,0,0
217,1997.0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,1986.0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,1998.0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,1982.0,0,0,0,0,1,0,0,0,0,0,0,0,0
225,1997.0,0,0,0,0,0,0,0,0,0,0,1,0,1
196,1995.0,0,0,0,0,0,0,0,0,1,0,0,0,1
162,1992.0,0,0,0,0,0,1,0,0,0,0,0,0,1
147,1991.0,1,0,0,0,0,0,0,0,0,0,0,0,0
232,1998.0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,1984.0,0,0,0,0,0,1,0,0,0,0,0,0,0
243,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,1
179,1993.0,0,0,1,0,0,0,0,0,0,0,0,0,0
215,1996.0,0,0,1,0,0,0,0,0,0,0,0,0,0
244,1999.0,0,0,0,0,0,0,0,0,1,0,0,0,1
252,2000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,1984.0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,1
203,1995.0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,1997.0,0,0,0,0,0,0,0,0,0,0,0,1,1
205,1996.0,0,0,0,1,0,0,0,0,0,0,0,0,0
137,1990.0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,1982.0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1979.0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,1993.0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,1979.0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,1983.0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1980.0,0,0,0,0,0,1,0,0,0,0,0,0,0
198,1995.0,0,0,0,0,0,1,0,0,0,0,0,0,1
135,1990.0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,1981.0,0,0,0,0,0,0,0,0,0,0,1,0,0
237,1998.0,0,0,0,0,0,0,0,0,0,0,1,0,1
140,1990.0,0,0,0,0,0,0,0,0,0,0,0,1,1
168,1993.0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,1986.0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,1981.0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,1992.0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,1980.0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,1988.0,0,0,0,0,0,0,0,0,0,0,0,1,1
213,1996.0,0,0,0,0,0,0,0,0,0,0,1,0,1
154,1991.0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,1987.0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,1986.0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1983.0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,1979.0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,1981.0,1,0,0,0,0,0,0,0,0,0,0,0,0
148,1991.0,0,0,0,0,0,0,0,0,1,0,0,0,1
199,1995.0,0,1,0,0,0,0,0,0,0,0,0,0,1
16,1980.0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,1991.0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,1982.0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,1983.0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,1984.0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,1991.0,0,1,0,0,0,0,0,0,0,0,0,0,1
87,1986.0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,1989.0,0,0,0,0,0,0,0,1,0,0,0,0,0
240,1999.0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,1987.0,0,0,0,1,0,0,0,0,0,0,0,0,0
257,2000.0,0,0,0,0,0,0,1,0,0,0,0,0,1
54,1983.0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,1987.0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,1990.0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,1997.0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,1990.0,0,0,0,0,0,0,0,0,0,0,1,0,1
250,1999.0,0,0,0,0,0,0,0,0,0,1,0,0,1
83,1985.0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,1983.0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,1993.0,1,0,0,0,0,0,0,0,0,0,0,0,1
121,1989.0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,1982.0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,1987.0,0,0,0,0,0,0,0,0,0,1,0,0,0
212,1996.0,0,0,0,0,0,0,0,0,0,0,0,1,1
71,1984.0,0,0,1,0,0,0,0,0,0,0,0,0,0
182,1994.0,0,0,0,0,0,0,0,1,0,0,0,0,1
163,1992.0,0,1,0,0,0,0,0,0,0,0,0,0,1
50,1983.0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,1985.0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,1987.0,0,0,0,0,0,0,0,1,0,0,0,0,0
189,1994.0,0,0,0,0,0,0,0,0,0,0,1,0,1
251,1999.0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,1992.0,0,0,0,0,0,0,0,0,0,0,0,1,1
152,1991.0,0,0,0,0,0,0,0,0,0,0,0,1,1
63,1984.0,1,0,0,0,0,0,0,0,0,0,0,0,0
230,1998.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1979.0,1,0,0,0,0,0,0,0,0,0,0,0,0
134,1990.0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,1989.0,0,0,0,0,0,0,0,0,0,0,0,1,1
67,1984.0,0,1,0,0,0,0,0,0,0,0,0,0,0
158,1992.0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,1985.0,0,0,0,0,0,0,0,0,1,0,0,0,0
200,1995.0,0,0,0,0,0,0,0,0,0,0,0,1,1
61,1984.0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,1990.0,0,0,0,0,1,0,0,0,0,0,0,0,0
228,1998.0,0,0,0,0,1,0,0,0,0,0,0,0,0
223,1997.0,0,1,0,0,0,0,0,0,0,0,0,0,1
42,1982.0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,1986.0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,1989.0,0,0,0,0,0,0,0,0,0,0,1,0,1
74,1985.0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,1995.0,0,0,0,1,0,0,0,0,0,0,0,0,0
262,2000.0,0,0,0,0,0,0,0,0,0,1,0,0,1
44,1982.0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,1995.0,0,0,0,0,0,0,1,0,0,0,0,0,1
139,1990.0,0,1,0,0,0,0,0,0,0,0,0,0,1
77,1985.0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,1981.0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,1981.0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,1988.0,0,0,0,0,0,0,1,0,0,0,0,0,1
124,1989.0,0,0,0,0,0,0,0,0,1,0,0,0,1
118,1988.0,0,0,0,0,0,0,0,0,0,1,0,0,0
